abide                         v.遵守
exempt                         a.免除的 v.免除
attend                        v.出席，参加；注意；
contend                       v.竞争,斗争;坚决主张
tendency                       n.趋势，趋向；倾向
trend                          n.倾向vi.伸向
attitude                      n.态度
attribute                     v.归属于 n.属性
thrive                         v.兴旺,繁荣
contribute                    v.(to)贡献,捐助;投稿
distribute                    v.分发;分配; (over)散布
augment                       n./v.增大，增强 
authority                     n.权威
systematic                     a.(systematical)系统的,有组织的
available                     a.可用到的
evaluate                      v.估价,评价;求…的值
value                          n.价值v.评价
avoid                         v.避免
bear                          n.熊 v.忍受，支撑
benign                        a.良性的
bewilder                      v.使迷惑，使手足无措
bizarre                       a.奇特的，怪异的
flourish                       n./v.繁荣,茂盛,兴旺
obscure                        a.暗的,朦胧的;模糊的
boost                         v.推进，促进，提高
bother                        v.烦扰，打搅
brief                         a.短的
browse                        v.吃嫩枝；浏览
budget                        n.预算
bureaucracy                   n.官僚主义
democracy                      n.民主,民主制,民主国家
democratic                     a.民主的
demonstrate                    v.论证;演示,说明
epidemic                      a.流行性的n.流行病
passion                        n.热情,激情;激怒
passive                        a.被动的,消极的
speculate                      vi.思索vt.思索
campaign                      n. 战役;运动
champion                      n.冠军,得胜者;拥护者
campus                        n.(大学)校园
candidate                     n.候选人,候补者;报考者
career                         n.(个人的)事业；生涯，职业
case                          n.箱,盒;情况;病例
category                      n.种类；范畴，类型
cater                         vi.(for/to)满足;(for)提供饮食及服务
cause                          n.原因 v.引起
cautious                      a.(of)小心的,谨慎的
caution                       n.谨慎vt.劝…小心
celebrate                      vt.庆祝vi.庆祝
celebrity                     n.名人；著名，名声
challenge                      n.挑战(书) v.向…挑战
chaos                         n.混乱,紊乱
characterize                  v.表示…的特性;描述…特性
charter                       v.租船,租车n.宪章
chemical                      a.化学的 n.(pl.)化学制品
circulate                     v.(使)循环,(使)流通
classic                       n.(pl.)杰作 a.第一流的
climate                       n.气候;风气,社会思潮
decline                       v.下降;拒绝 n.下降;斜面
cognitive                     a.认知的，认识能力的
collaborate                   vi.协作，合作；(与敌人)勾结
corporation                   n.市镇自治机关；法人；公司
operate                        v.操作,起作用,动手术
operational                    a.操作的,运转的,起作用的
collapse                      v./n.倒塌；崩溃；(价格)暴跌
combine                       v.联合；结合；化合 n.集团；联合企业
comment                        n.注释v.(on)注释
mental                         a.精神的,思想的,心理的
material                       n.材料a.物质的
commerce                      n.商业，贸易；交际
commercial                    a.商业的n.广告节目
commit                        v.把…交托给;犯(错误),干(坏事)
transmit                       vt.发射 vi.发射信号
commodity                     n.(pl.)日用品；商品；农/矿产品 
communicate                   v.传达;交流;通讯
immune                         a.免疫的;有受影响的;豁免的
comparable                    a.(with,to)可比较的,比得上的
compare                       vt.(to，with)比较；(to)把…比作vi.相比
impair                         v.损害,损伤;削弱
complicate                     v.使..复杂；使..难懂；使（病）恶化
duplicate                      n.复制品 v.复写
explicit                      a.详述的,明确的;坦率的
implicit                       a.含蓄的;(in)固有的;无疑问的
compromise                    n.妥协vi.妥协
promising                      a.有希望的,有前途的
reputation                     n.名誉,名声,声望
reveal                         v.展现,显示,揭示
revelation                     n.揭示,揭露,显示
conceive                      v.(of)设想;以为;怀胎
concept                       n.概念，观念，设想
precise                        a.精确的,准确的
condemn                       v.谴责,指责;判刑
contempt                      n.轻视，藐视；受辱
conduct                       n.行为v.引导
introduce                      vt.介绍；引进，传入
reproduce                      v.生殖;翻版;复制
offer                          v.提供n.提议
refer                          v.参考;提到;提交
reference                      n.提及,涉及;参考书目
suffer                         v.(from)受痛苦;受损失
transfer                       vt./n.转移；转换；转让
profession                     n.职业,专业,表白
faith                         n.信任;信仰,信条
definite                      a.明确的;一定的;意志坚强的
conflict                      n.战斗v.(with)抵触
format                         n.格式 vt.设计
perform                        v.履行,执行;表演
performance                    n.履行;表演;性能
transform                      vt.改变,变换;变压;转化;改造,改造
confront                      v.使面临,使遭遇;面对(危险等)
gratitude                     n.感激,感谢
conscious                      a.(of)意识到的,自觉的;神志清醒的
consequence                    n.结果,后果;重要性
sequence                       n.句子;判决v.宣判
subsequent                     a.随后的,后来的
consensus                      n.(意见等的)一致，一致同意，共识
sensible                       a.明智的;可觉察的,明显的
sensitive                      a.(to)敏感的,易受伤害的;灵敏的
deserve                       v.应受,值得
observe                        v.观察,观测,注意到
preserve                       v.保护,维持;保存
considerable                  a.相当大(或多)的,可观的;值得考虑的   
prospect                       n.景色;前景,前途
retrospect                    foresee
suspect                        v.猜想a.可疑的
conspiracy                    n.阴谋，密谋，共谋
spirit                         n.精神;(pl.)情绪;(pl.)酒精
constant                       a.固定的 n.常数
constituent                    n.选民a.组成的
constitute                    vt.组成；设立，建立
institution                    n.公共机构;协会;学校
substitute                     n.代替者v.(for)代替
statute                        n.法令，法规；章程
constrain                     vt.限制；克制，抑制
restrain                       v.(from)抑制,制止
consume                       vt.消耗(with)使着迷
contact                       v./n.(使)接触,联系,交往
integrity                      n.正直,诚实;完整,完全
temporary                      a.暂时的,临时的
contradict                    v.反驳;同…矛盾,同…抵触
dictate                       v.口授;(使)听写;指令
predict                        v.预言,预测,预告
verify                         vt.证实,查证;证明
contrary                      a.(to)相反的 n.反对
counterpart                   n.对应的人(或物)
convey                        v.运送;传达,传播
coordinate                    a.同等的 n.同等者
relevant                       a.有关的,中肯的,相应的
correspond                     v.通信,(with)符合;(to)相当于
criterion                     n.(pl.criteria或criterions)标准，尺度
critical                      a.批评的,紧要的;临界的
criticize                     v.(criticise)批评,评论
crucial                       a.至关重要的,决定性的
cultivate                     v.耕作,栽培,养殖
occur                          v.出现;存在;想起
occurrence                     n.发生;事件,
damage                        v./n.损害,毁坏 n.(pl.)损害赔偿费
dash                          v./n.突进 n.破折号
dazzle                        v.使惊奇n.耀眼的光
decade                        n.十年
dedicate                      vt.奉献;献身于
profit                         n.利润v.(by,from)得利
generate                       vt.产生,发生;生殖
delight                        n.快乐v.(使)高兴
enlighten                     v.启发,启蒙,教导
deny                          v.否认,否定;拒绝
negative                       a.消极的n.负数
density                       n.密集,密度,浓度
dependent                     a.依靠的,依赖的,从属的
deprive                       vt.剥夺,夺去,使丧失
privacy                        n.(不受干扰的)独处，自由，隐私
private                        a.私人的,个人的,秘密的
privilege                      n.特权v.给予特权
desirable                     a.值得做的;合意的;期望得到的
desperate                      a.不顾一切的；绝望的
despite                       prep.不管,不顾
detect                        v.察觉,发觉,侦察
determine                     v.决心,决定;确定
develop                       v.发展;显现;发育
trivial                        a.琐碎的;无足轻重的
previous                       a.先前的,以前的
devote                        v.(to)奉献,致力
vote                           n.投票v.表决
indifferent                    a.冷漠的,不关心的,不积极的
dilemma                       n.(进退两难的)窘境,困境
intelligence                   n.智力;情报
intellectual                   n.知识分子 a.智力的
discern                       v.发现;辨别
disgrace                      n.失宠v.使失宠
disposal                      n.处理,处置;布置
oppose                         v.反对,使对立,使对抗
positive                       a.肯定的,积极的,绝对的
possess                        v.占有,拥有
possession                     n.持有;所有权;(pl.)财产
obsession                      n.迷住, 困扰
solution                       n.解答,解决办法;溶解
distinct                      a.清楚的,明显的;(from)截然不同的
disturb                       v.扰乱,妨碍,使不安
turbulent                      a.狂暴的,无秩序的
doctrine                      n. 教条，教义；法律原则
domain                        n.(活动,思想等)领域,范围;领地
dominate                      v.支配,统治;占优势
prominent                      a.突起的,凸出的;突出的
masterpiece n.杰作,名著
dramatic                      a.戏剧的,戏剧性的;剧烈的
rough                          a.粗糙的,大致的;粗野的
tough                          a.坚韧的,棘手的;强健的
dwell                         v.住,居留
dynamic                       a.动力的,电动的;有生气的
status                         n.地位,身份;情形
obstacle                       n.障碍(物),妨碍,阻碍
economic                      a.经济(上)的,经济学的
eligible                      a.符合条件的;(尤指婚姻等)合适(意)的
eloquent                      a.雄辩的,有说服力的;善辩的   
embark                        v.(使)上船(或飞机,汽车等);着手,从事
embarrass                     vt.使困窘,使局促不安;阻碍
embody                        vt.具体表达;包含,收录
emotion                       n.情绪,情感,感情
mood                           n.心情,情绪;语气
motivate                       vt.促动；激励，作为…的动机
emphasis                      n.强调,重点
empirical                     a.凭经验(或观察)的,经验主义的
theoretical                    a.理论(上)的
employ                        n./v.雇用;用,使用
endeavor                      v./n.(endeavour)努力,尽力,力图
endurance                     n.忍耐(力),持久(力),耐久(性)
endure                        v.忍受,持久,持续   
enhance                       v.实施;强制;支持’
entail                        vt.使承担;需要;把(疾病等)遗传给
enthusiasm                    n.热情;狂热;积极性(for)
enthusiastic                  a.热情的,热心的
entitle                       v.给以权利(或资格);给…称号(题名);授权
envisage                      v.想象，设想，展望
revise                         v.修订,校订;修正
survey                         v./n.眺望;调查;测量图
visible                        a.看得见的, 明显的, 显著的
vision                         n.视力;远见;幻想,
prudent                        a.谨慎的,智慧的,稳健的
escape                        n.逃跑v.逃跑
essay                         n.文章,短文
essence                       n.本质,实质
essential                     a.本质的n.本质
statistical                    a.统计的,统计学的
estimate                      v./n.估计;评估
ethnic                        a.种族的；人种学的
evade                         vt.逃避，回避；避开
inevitable                     a.不可避免的,必然发生的
revolve                        v.(使)旋转;考虑;【天】公转,循环
exclusive                      a.独占的;排他的;孤高的
executive                      n.总经理a.执行的
expertise                      n.专门知识(或技能等),专长
explode                       v.(使)爆炸,(使)爆发
exploit                       v.开发n.功绩
explore                       v.勘探,探测;探究
fabulous                      a.极好的；寓言中的
fade                           v.褪色;衰减n.淡入(出)
fail                           v.失败,不及格;衰退
faint                          a.微弱的n./v.昏倒
false                         [fɔ:ls a.谬误的,虚伪的,伪造的
fault                         n.过失,过错;缺点,毛病
feature                       n.特征v.以...为特色
figure                        n.数字v.描绘
fertilizer                    n.(fertiliser)肥料
fetch                         v.取来;接来;引出n.取得
fierce                        a.凶猛的,残忍的;狂热的
finance                       n.财政,金融 v.为…提供资金
fine                          a.美好的v./n.罚金,罚款
flaw                           n.裂缝;缺陷 v.使破裂;使有缺陷
forecast                       v./n.预测,预报
formidable                     a.强大的;令人敬畏的;可怕的
frown                          v.皱眉
fulfill                        v.(fulfil)完成,履行,实践
fundamental                    a.基础的n.(pl.)基本原则
profound                       a.深刻的,意义深远的;渊博的
generous                       a.宽宏大量的,慷慨的
genetic                       遗传学
glamour                        n.(glamour)魅力vt.迷惑
glowing                        adj. 灼热的v. 发光
gorgeous                       	a.华丽的；灿烂的；美丽的
grant                          v.同意n.授予物
guarantee                      n.保证v.保证
warrant                       v.穿着，戴着n.穿，戴 
safeguard                      v.维护 n.安全装置  
guilty                         a.(of)有罪的,内疚的
harmony                       n.协调,和谐;融洽
inherit                        vt.继承(金钱等)，经遗传而得(性格、特征)   
hierarchy                     n.等级制度；统治集团，领导层
hijack                        v.劫持，劫机，拦路抢劫
honor                          n.(honour)尊敬;荣誉v.尊敬
horizon                        n.地平线;眼界,见识
orient                         n.亚洲 v.为…定位
original                       a.最初的n.原文
originate                      v.(in,from)起源;首创,创造
ideology                       n.意识形态，(政治或社会的)思想意识
illegal                        a.不合法的,非法的
legislation                    n.法律(规)；立法，法律的制定(或通过)
legitimate                     a.合法的vt.使合法
license                        n.(licence)许可证v.准许,认可
illusion                       n.幻想，错误的观念；错觉，幻觉，假象
illustrate                     v.举例说明,阐明;图解
image                          n.形象；形象的描述，比喻
imagine                        v.想象,设想,料想
imitate                       [ˈɪmɪteɪt v.模仿,仿效; 伪造
imperative                     n.命令a.强制的
indispensable                  a.(to,for)必不可少的,必需的
pension                        n.养老金,年金
individual                     a.个人的n.个人,个体
inferior                       a.下等的n.下级
superior                       a.卓越的n.上级
prior                          a.优先的,在前的;(to)在…之前
priority                       n.先,前;优先,重点
initiative                     a.创始的n.第一步
innocent                       a.(of)清白的,无罪的;单纯的
innovation                     n.改革，革新；新观念
novel                          n.(长篇)小说 a.新奇的
novelty                        n.新奇,新颖,新奇的事物
preside                        v.(at,over)主持
interpret                      vt.解释,说明;口译
invalid                        n.伤残人 a.伤残的;无效的
valid                          a.有效的;有根据的;正当的
prevail                        v.(over,against)取胜,占优势;流行
variable                       a.可变的n.变量
variety                        n.种种,多种多样;种类
various                        a.各种各样的;不同的
vary                           vt.改变,变化;使多样化
invent                         v.发明,创造;捏造
journalist                     n.记者,新闻工作者
justify                        v.证明...正当(或有理、正确)，为...辩护
senate                         n.参议院,上院
later                          ad.后来,过后
launch                         v.发射n.发射
leading                        a.领导的,指导的;第一位的
release                        v.释放n.释放
reliance                       n.信任,信心,依靠
religious                      a.宗教的,信教的,虔诚的
liberal                        a.慷慨的;富足的;自由的
literacy                       n.有文化,有教养,有读写能力
loyalty                        n.忠诚,忠心
magnificent                    a.华丽的,高尚的,宏伟的
margin                         n.页边空白;边缘;余地
mass                           n.众多;(pl.)群众;质量
massive                        a.厚实的,粗大的;大规模的
optimistic                     a.乐观主义的
pessimistic                    a.悲观(主义)的
mechanism                      n.机械装置,机构;机制
metal                          n.金属,金属制品
miserable                      a.痛苦的,悲惨的
misery                         n.痛苦,悲惨,不幸
mobile                         a.可动的,活动的,运动的
monopoly                       n.垄断,专卖,专利权
youngster                      n.小伙子，年轻人；少年
moral                          a.道德(上)的n.寓意,教育意义
mount                          v.登上n.支架
neat                           a.整洁的,干净的,优美的
nightmare                      n.恶梦；可怕的事物，无法摆脱的恐惧
nuclear                        a.核心的,中心的;原子核的
nuisance                       n.讨厌的人(或东西);麻烦事
oblige                         v.强迫;责成;(使)感激
occupy                         v.占用;占据;使忙碌
odd                            	a.奇数的;奇怪的;单只的
odds                           n.不平等,差异;机会
upset                          v.使…心烦意乱a.难过的
opponent                       n.对手a.对立的
suppress                       v.镇压;抑制,忍住
stress                         n.压力vt.强调
organic                        a.器官的;有机的;有机体的
paradox                        n.似非而是的话,自相矛盾的话,反论
outrage                        n.暴行v.凌辱
overall                        a.全面的n.(pl.)(套头)工作服
overseas                       a.外国的ad.在海外
overturn                       n.倾覆 v.推翻
palm                           n.手掌vt.与…握手,藏…于掌中
parallel                       a.相同的n.类似
parcel                         n.包裹v.打包
pocket                         n.衣袋 a.袖珍的
pattern                        n.模式;图案v.仿制
payment                        n.支付
peace                          n.和平;平静,安宁
pebble                         n.卵石
specialize                     v.(specialise)(in)专攻,专门研究,专业化
specific                       a.明确的,具体的;特定的
specify                        v.指定,详细说明
permanent                      a.永久的,持久的
persuade                       v.说服,劝说;(of)使相信
philosophy                     n.哲学,哲理,人生观
physical                       a.物质的;身体的;物理的
physician                      n.内科医生
pilgrim                        n.(在国外)旅游者;朝圣者,最初的移民
plague                         n.瘟疫vt.折磨
political                      a.政治的
politician                     n.政治家,政客
politics                       n.政治,政治学;政纲
wonder                         n.惊奇, v.(at)想知道
portray                        v.描写，描述；画(人物、景象等)
trait                          n.特征,特点,特性
potential                      a.潜在的n.潜能	
primary                        a.最初的,初级的;首要的
prime                          a.首要的n.青春,全盛期
prohibit                      v.禁止,不准;阻止
prone                          a.倾向于,俯伏的,倾斜的
prosper                        v.成功,兴隆,昌盛
protest                        v./n.主张,断言,抗议
psychology                     n.心理,心理学,心理状态
purchase                       v.买,购买 n.购买的物品
pursue                         v.追赶;继续,从事
pursuit                        n.追赶,追求;职业
radical                        a.基本的,重要的;激进的
random                         a.随机的n.随机
range                          n.范围v.排列成行
rank                           n.社会阶层v.分等级
rate                           n.速率v.估价
rational                       a.理性的,合理的
reason                         n.原因v.说服
realm                          n.国土;领域
royal                          a.王室的;第一流的,高贵的
reckless                       a.,大意的,卤莽的,不顾后果的
recruit                        v.补充 n.新成员
reflect                        v.反射,反映,表现
reign                          n./v.统治 n.统治时期
reluctant                      a.不愿的,勉强的
render                         v.使得,致使;提出
represent                      v.描述,代表;阐明
request                        v./n.请求,要求
require                        v.需要;(of)要求,命令
resemble                       v.像,类似
respond                        v.回答,响应,作出反应
restore                        v.恢复;归还;修复
reward                         n.(for)报酬,赏金 v.(for)酬劳;酬谢
rigid                          a.刚性的;刻板的;严厉的
vigorous                       a.朝气蓬勃的,精力旺盛的
ritual                         a.宗教仪式的n.(宗教)仪式
robust                         a.强健的,雄壮的,精力充沛的
root                           n.根v.(使)生根
ruin                           v.毁灭n.毁灭
sacred                         a.神圣的;宗教的;庄严的
satire                         n.讽刺,讽刺文学,讽刺作品
scarf                          n.围巾,头巾,领巾
scatter                        v.散开,驱散;散布
scheme                         n.计划, v.,策划
scrutiny                       n.周密的调查；仔细看；监视
shame                          n.羞耻v.使羞愧
shelter                        n.碎片v.粉碎
sincere                        a.诚挚的,真实的,诚恳的
stuff                          n.原料 v.填满
sponsor                        n.发起人v.发起
spur                           n.刺激v.刺激
steep                          a.陡峭的vt.浸泡
stern                          a.严厉的n.船尾
strengthen                     v.加强,巩固
strike                         n.击v.抚摸
subsidy                        n.补助金；津贴费
subtle                         a.精巧的,巧妙的;细微的
urban                          a.城市的, 市内的
suffice                        v.充足；vt.(食物等)使(某人)满足
superficial                    a.表面的;肤浅的,浅薄的
supreme                        a.极度的,最重要的;至高的
tackle                         n.滑车；工具 v.解决
vehicle                        n.交通工具;媒介,载体
terrify                        v.使害怕,使惊恐
tolerance                      n.宽容；容忍；耐药力
traffic                        n.交通,交通量
translation                    n.翻译;译文,译本
tremendous                     a.巨大的,极大的
ultimate                       a.最后的,最终的;根本的
undergraduate                  n.大学生,大学肆业生
underline                      vt.在…下划线;强调
undermine                      v.暗中破坏,逐渐削弱;侵蚀…的基础
unfold                         vt.打开;显露;展示 vi.呈现;显示;展示
union                          n.制服a.相同的
unique                         a.唯一的,独一无二的
update                         v.更新,使现代化
urge                           vt.催促n.强烈欲望,
urgent                         a.急迫的，紧要的，紧急的
vanish                         vi.突然不见;消失
vanity                         n.虚荣心,浮华
violate                        vt.违背;冒犯;妨碍
virtue                         n.德行;贞操;优点
vital                          a.生死攸关的,重大的;生命的,生机的
volume                         n.容积,体积;音量
voluntary                      a.自愿的,志愿的
volunteer                      n./v.自愿(者,兵);自愿(提供)
whisper                        v.私下说n.耳语;传闻
wisdom                         n.智慧,明智;名言
withhold                       vt.使停止; vi.忍住
worldwide                      a.全世界的ad.遍及全世界
yield                          v.出产;(to)屈服n.产量
zeal                           n.热心，热忱，热情







